doc_index,entity_group,entity_text,start,end,full_text
0,POLYMER,ldpe,821,825,"A method for large- scale processing of low density polyethylene ( LDPE) nanofibers reinforced by aligned multi- walled carbon nanotubes ( MWCNTs) is achieved via nanolayer coextrusion. The morphology and nano- sized diameter of the nanofibers are observed on scanning electron microscope. The prioritized alignment and dispersion of MWCNTs along the fiber axis are determined by transmission electron microscopy, polarized Raman spectra, and high resolution optical microscopy. The dispersion of MWCNTs in nanofibers is better than that in homologous micron- fibers. In addition, MWCNTs can promote the crystallization of LDPE in varying degrees which depend on the fiber diameter and MWCNTs content. As a result of the alignment of MWCNTs, the nanofibers exhibit enhanced mechanical properties. The tensile strength of LDPE(1 wt % MWCNTs) nanofibers is more than twice of pure nanofibers ( without MWCNTs). The volume resistivity of the LDPE(MWCNTs) nanofiber mats containing 9 wt % MWCNTs can be reduced to 100 Ω cm."
0,MATERIAL_AMOUNT,1 wt %,826,832,"A method for large- scale processing of low density polyethylene ( LDPE) nanofibers reinforced by aligned multi- walled carbon nanotubes ( MWCNTs) is achieved via nanolayer coextrusion. The morphology and nano- sized diameter of the nanofibers are observed on scanning electron microscope. The prioritized alignment and dispersion of MWCNTs along the fiber axis are determined by transmission electron microscopy, polarized Raman spectra, and high resolution optical microscopy. The dispersion of MWCNTs in nanofibers is better than that in homologous micron- fibers. In addition, MWCNTs can promote the crystallization of LDPE in varying degrees which depend on the fiber diameter and MWCNTs content. As a result of the alignment of MWCNTs, the nanofibers exhibit enhanced mechanical properties. The tensile strength of LDPE(1 wt % MWCNTs) nanofibers is more than twice of pure nanofibers ( without MWCNTs). The volume resistivity of the LDPE(MWCNTs) nanofiber mats containing 9 wt % MWCNTs can be reduced to 100 Ω cm."
0,INORGANIC,mwcnts,833,839,"A method for large- scale processing of low density polyethylene ( LDPE) nanofibers reinforced by aligned multi- walled carbon nanotubes ( MWCNTs) is achieved via nanolayer coextrusion. The morphology and nano- sized diameter of the nanofibers are observed on scanning electron microscope. The prioritized alignment and dispersion of MWCNTs along the fiber axis are determined by transmission electron microscopy, polarized Raman spectra, and high resolution optical microscopy. The dispersion of MWCNTs in nanofibers is better than that in homologous micron- fibers. In addition, MWCNTs can promote the crystallization of LDPE in varying degrees which depend on the fiber diameter and MWCNTs content. As a result of the alignment of MWCNTs, the nanofibers exhibit enhanced mechanical properties. The tensile strength of LDPE(1 wt % MWCNTs) nanofibers is more than twice of pure nanofibers ( without MWCNTs). The volume resistivity of the LDPE(MWCNTs) nanofiber mats containing 9 wt % MWCNTs can be reduced to 100 Ω cm."
0,INORGANIC,mwcnts,900,906,"A method for large- scale processing of low density polyethylene ( LDPE) nanofibers reinforced by aligned multi- walled carbon nanotubes ( MWCNTs) is achieved via nanolayer coextrusion. The morphology and nano- sized diameter of the nanofibers are observed on scanning electron microscope. The prioritized alignment and dispersion of MWCNTs along the fiber axis are determined by transmission electron microscopy, polarized Raman spectra, and high resolution optical microscopy. The dispersion of MWCNTs in nanofibers is better than that in homologous micron- fibers. In addition, MWCNTs can promote the crystallization of LDPE in varying degrees which depend on the fiber diameter and MWCNTs content. As a result of the alignment of MWCNTs, the nanofibers exhibit enhanced mechanical properties. The tensile strength of LDPE(1 wt % MWCNTs) nanofibers is more than twice of pure nanofibers ( without MWCNTs). The volume resistivity of the LDPE(MWCNTs) nanofiber mats containing 9 wt % MWCNTs can be reduced to 100 Ω cm."
0,PROP_NAME,volume resistivity,913,931,"A method for large- scale processing of low density polyethylene ( LDPE) nanofibers reinforced by aligned multi- walled carbon nanotubes ( MWCNTs) is achieved via nanolayer coextrusion. The morphology and nano- sized diameter of the nanofibers are observed on scanning electron microscope. The prioritized alignment and dispersion of MWCNTs along the fiber axis are determined by transmission electron microscopy, polarized Raman spectra, and high resolution optical microscopy. The dispersion of MWCNTs in nanofibers is better than that in homologous micron- fibers. In addition, MWCNTs can promote the crystallization of LDPE in varying degrees which depend on the fiber diameter and MWCNTs content. As a result of the alignment of MWCNTs, the nanofibers exhibit enhanced mechanical properties. The tensile strength of LDPE(1 wt % MWCNTs) nanofibers is more than twice of pure nanofibers ( without MWCNTs). The volume resistivity of the LDPE(MWCNTs) nanofiber mats containing 9 wt % MWCNTs can be reduced to 100 Ω cm."
0,POLYMER,ldpe,939,943,"A method for large- scale processing of low density polyethylene ( LDPE) nanofibers reinforced by aligned multi- walled carbon nanotubes ( MWCNTs) is achieved via nanolayer coextrusion. The morphology and nano- sized diameter of the nanofibers are observed on scanning electron microscope. The prioritized alignment and dispersion of MWCNTs along the fiber axis are determined by transmission electron microscopy, polarized Raman spectra, and high resolution optical microscopy. The dispersion of MWCNTs in nanofibers is better than that in homologous micron- fibers. In addition, MWCNTs can promote the crystallization of LDPE in varying degrees which depend on the fiber diameter and MWCNTs content. As a result of the alignment of MWCNTs, the nanofibers exhibit enhanced mechanical properties. The tensile strength of LDPE(1 wt % MWCNTs) nanofibers is more than twice of pure nanofibers ( without MWCNTs). The volume resistivity of the LDPE(MWCNTs) nanofiber mats containing 9 wt % MWCNTs can be reduced to 100 Ω cm."
0,INORGANIC,mwcnts,944,950,"A method for large- scale processing of low density polyethylene ( LDPE) nanofibers reinforced by aligned multi- walled carbon nanotubes ( MWCNTs) is achieved via nanolayer coextrusion. The morphology and nano- sized diameter of the nanofibers are observed on scanning electron microscope. The prioritized alignment and dispersion of MWCNTs along the fiber axis are determined by transmission electron microscopy, polarized Raman spectra, and high resolution optical microscopy. The dispersion of MWCNTs in nanofibers is better than that in homologous micron- fibers. In addition, MWCNTs can promote the crystallization of LDPE in varying degrees which depend on the fiber diameter and MWCNTs content. As a result of the alignment of MWCNTs, the nanofibers exhibit enhanced mechanical properties. The tensile strength of LDPE(1 wt % MWCNTs) nanofibers is more than twice of pure nanofibers ( without MWCNTs). The volume resistivity of the LDPE(MWCNTs) nanofiber mats containing 9 wt % MWCNTs can be reduced to 100 Ω cm."
0,MATERIAL_AMOUNT,9 wt %,978,984,"A method for large- scale processing of low density polyethylene ( LDPE) nanofibers reinforced by aligned multi- walled carbon nanotubes ( MWCNTs) is achieved via nanolayer coextrusion. The morphology and nano- sized diameter of the nanofibers are observed on scanning electron microscope. The prioritized alignment and dispersion of MWCNTs along the fiber axis are determined by transmission electron microscopy, polarized Raman spectra, and high resolution optical microscopy. The dispersion of MWCNTs in nanofibers is better than that in homologous micron- fibers. In addition, MWCNTs can promote the crystallization of LDPE in varying degrees which depend on the fiber diameter and MWCNTs content. As a result of the alignment of MWCNTs, the nanofibers exhibit enhanced mechanical properties. The tensile strength of LDPE(1 wt % MWCNTs) nanofibers is more than twice of pure nanofibers ( without MWCNTs). The volume resistivity of the LDPE(MWCNTs) nanofiber mats containing 9 wt % MWCNTs can be reduced to 100 Ω cm."
0,INORGANIC,mwcnts,985,991,"A method for large- scale processing of low density polyethylene ( LDPE) nanofibers reinforced by aligned multi- walled carbon nanotubes ( MWCNTs) is achieved via nanolayer coextrusion. The morphology and nano- sized diameter of the nanofibers are observed on scanning electron microscope. The prioritized alignment and dispersion of MWCNTs along the fiber axis are determined by transmission electron microscopy, polarized Raman spectra, and high resolution optical microscopy. The dispersion of MWCNTs in nanofibers is better than that in homologous micron- fibers. In addition, MWCNTs can promote the crystallization of LDPE in varying degrees which depend on the fiber diameter and MWCNTs content. As a result of the alignment of MWCNTs, the nanofibers exhibit enhanced mechanical properties. The tensile strength of LDPE(1 wt % MWCNTs) nanofibers is more than twice of pure nanofibers ( without MWCNTs). The volume resistivity of the LDPE(MWCNTs) nanofiber mats containing 9 wt % MWCNTs can be reduced to 100 Ω cm."
0,PROP_VALUE,100 ω cm,1010,1018,"A method for large- scale processing of low density polyethylene ( LDPE) nanofibers reinforced by aligned multi- walled carbon nanotubes ( MWCNTs) is achieved via nanolayer coextrusion. The morphology and nano- sized diameter of the nanofibers are observed on scanning electron microscope. The prioritized alignment and dispersion of MWCNTs along the fiber axis are determined by transmission electron microscopy, polarized Raman spectra, and high resolution optical microscopy. The dispersion of MWCNTs in nanofibers is better than that in homologous micron- fibers. In addition, MWCNTs can promote the crystallization of LDPE in varying degrees which depend on the fiber diameter and MWCNTs content. As a result of the alignment of MWCNTs, the nanofibers exhibit enhanced mechanical properties. The tensile strength of LDPE(1 wt % MWCNTs) nanofibers is more than twice of pure nanofibers ( without MWCNTs). The volume resistivity of the LDPE(MWCNTs) nanofiber mats containing 9 wt % MWCNTs can be reduced to 100 Ω cm."
1,MONOMER,"1, 2 - diphenylmaleimide",148,169,"In an attempt to balance energy barriers of hole and electron injection we prepared and characterized homopolymer containing electron- transporting 1,2-diphenylmaleimide chromophores ( P1) and copolymers consisting of 1,2-diphenylmaleimide and hole- transporting 2,5-thiophene moieties ( P2, P3) via dehalogenation polycondensation. The copolymers are amorphous materials with decomposition temperature greater than 450 ° C. Absorption and fluorescence spectra were employed to investigate their optical properties both in solution and film state. Photoluminescence maxima of P1, P2 and P3 films are 564, 559 and 558 nm, respectively. The HOMO and LUMO energy levels have been estimated from their cyclic voltammograms. The HOMO levels of P1, P2, and P3 were readily raised with increasing thiophene content ( -5.99, -5.59, and -5.43 eV, respectively), whereas their LUMO levels were very similar ( -3.61 to -3.65 eV). Double- layer light- emitting diodes ( Al / PEDOT: PSS / P1-P3 / ITO) were fabricated to evaluate their optoelectronic characteristics. Incorporation of thiophene units successfully reduced the turn- on electric field from 11.0x10^{5} to 2.9x10^{5} V / cm, but it decreased the luminescent efficiency and the maximum brightness."
1,POLYMER,p1,185,187,"In an attempt to balance energy barriers of hole and electron injection we prepared and characterized homopolymer containing electron- transporting 1,2-diphenylmaleimide chromophores ( P1) and copolymers consisting of 1,2-diphenylmaleimide and hole- transporting 2,5-thiophene moieties ( P2, P3) via dehalogenation polycondensation. The copolymers are amorphous materials with decomposition temperature greater than 450 ° C. Absorption and fluorescence spectra were employed to investigate their optical properties both in solution and film state. Photoluminescence maxima of P1, P2 and P3 films are 564, 559 and 558 nm, respectively. The HOMO and LUMO energy levels have been estimated from their cyclic voltammograms. The HOMO levels of P1, P2, and P3 were readily raised with increasing thiophene content ( -5.99, -5.59, and -5.43 eV, respectively), whereas their LUMO levels were very similar ( -3.61 to -3.65 eV). Double- layer light- emitting diodes ( Al / PEDOT: PSS / P1-P3 / ITO) were fabricated to evaluate their optoelectronic characteristics. Incorporation of thiophene units successfully reduced the turn- on electric field from 11.0x10^{5} to 2.9x10^{5} V / cm, but it decreased the luminescent efficiency and the maximum brightness."
1,MONOMER,"1, 2 - diphenylmaleimide",218,239,"In an attempt to balance energy barriers of hole and electron injection we prepared and characterized homopolymer containing electron- transporting 1,2-diphenylmaleimide chromophores ( P1) and copolymers consisting of 1,2-diphenylmaleimide and hole- transporting 2,5-thiophene moieties ( P2, P3) via dehalogenation polycondensation. The copolymers are amorphous materials with decomposition temperature greater than 450 ° C. Absorption and fluorescence spectra were employed to investigate their optical properties both in solution and film state. Photoluminescence maxima of P1, P2 and P3 films are 564, 559 and 558 nm, respectively. The HOMO and LUMO energy levels have been estimated from their cyclic voltammograms. The HOMO levels of P1, P2, and P3 were readily raised with increasing thiophene content ( -5.99, -5.59, and -5.43 eV, respectively), whereas their LUMO levels were very similar ( -3.61 to -3.65 eV). Double- layer light- emitting diodes ( Al / PEDOT: PSS / P1-P3 / ITO) were fabricated to evaluate their optoelectronic characteristics. Incorporation of thiophene units successfully reduced the turn- on electric field from 11.0x10^{5} to 2.9x10^{5} V / cm, but it decreased the luminescent efficiency and the maximum brightness."
1,MONOMER,"2, 5 - thiophene",263,276,"In an attempt to balance energy barriers of hole and electron injection we prepared and characterized homopolymer containing electron- transporting 1,2-diphenylmaleimide chromophores ( P1) and copolymers consisting of 1,2-diphenylmaleimide and hole- transporting 2,5-thiophene moieties ( P2, P3) via dehalogenation polycondensation. The copolymers are amorphous materials with decomposition temperature greater than 450 ° C. Absorption and fluorescence spectra were employed to investigate their optical properties both in solution and film state. Photoluminescence maxima of P1, P2 and P3 films are 564, 559 and 558 nm, respectively. The HOMO and LUMO energy levels have been estimated from their cyclic voltammograms. The HOMO levels of P1, P2, and P3 were readily raised with increasing thiophene content ( -5.99, -5.59, and -5.43 eV, respectively), whereas their LUMO levels were very similar ( -3.61 to -3.65 eV). Double- layer light- emitting diodes ( Al / PEDOT: PSS / P1-P3 / ITO) were fabricated to evaluate their optoelectronic characteristics. Incorporation of thiophene units successfully reduced the turn- on electric field from 11.0x10^{5} to 2.9x10^{5} V / cm, but it decreased the luminescent efficiency and the maximum brightness."
1,POLYMER,p2,288,290,"In an attempt to balance energy barriers of hole and electron injection we prepared and characterized homopolymer containing electron- transporting 1,2-diphenylmaleimide chromophores ( P1) and copolymers consisting of 1,2-diphenylmaleimide and hole- transporting 2,5-thiophene moieties ( P2, P3) via dehalogenation polycondensation. The copolymers are amorphous materials with decomposition temperature greater than 450 ° C. Absorption and fluorescence spectra were employed to investigate their optical properties both in solution and film state. Photoluminescence maxima of P1, P2 and P3 films are 564, 559 and 558 nm, respectively. The HOMO and LUMO energy levels have been estimated from their cyclic voltammograms. The HOMO levels of P1, P2, and P3 were readily raised with increasing thiophene content ( -5.99, -5.59, and -5.43 eV, respectively), whereas their LUMO levels were very similar ( -3.61 to -3.65 eV). Double- layer light- emitting diodes ( Al / PEDOT: PSS / P1-P3 / ITO) were fabricated to evaluate their optoelectronic characteristics. Incorporation of thiophene units successfully reduced the turn- on electric field from 11.0x10^{5} to 2.9x10^{5} V / cm, but it decreased the luminescent efficiency and the maximum brightness."
1,POLYMER,p3,292,294,"In an attempt to balance energy barriers of hole and electron injection we prepared and characterized homopolymer containing electron- transporting 1,2-diphenylmaleimide chromophores ( P1) and copolymers consisting of 1,2-diphenylmaleimide and hole- transporting 2,5-thiophene moieties ( P2, P3) via dehalogenation polycondensation. The copolymers are amorphous materials with decomposition temperature greater than 450 ° C. Absorption and fluorescence spectra were employed to investigate their optical properties both in solution and film state. Photoluminescence maxima of P1, P2 and P3 films are 564, 559 and 558 nm, respectively. The HOMO and LUMO energy levels have been estimated from their cyclic voltammograms. The HOMO levels of P1, P2, and P3 were readily raised with increasing thiophene content ( -5.99, -5.59, and -5.43 eV, respectively), whereas their LUMO levels were very similar ( -3.61 to -3.65 eV). Double- layer light- emitting diodes ( Al / PEDOT: PSS / P1-P3 / ITO) were fabricated to evaluate their optoelectronic characteristics. Incorporation of thiophene units successfully reduced the turn- on electric field from 11.0x10^{5} to 2.9x10^{5} V / cm, but it decreased the luminescent efficiency and the maximum brightness."
1,PROP_NAME,decomposition temperature,377,402,"In an attempt to balance energy barriers of hole and electron injection we prepared and characterized homopolymer containing electron- transporting 1,2-diphenylmaleimide chromophores ( P1) and copolymers consisting of 1,2-diphenylmaleimide and hole- transporting 2,5-thiophene moieties ( P2, P3) via dehalogenation polycondensation. The copolymers are amorphous materials with decomposition temperature greater than 450 ° C. Absorption and fluorescence spectra were employed to investigate their optical properties both in solution and film state. Photoluminescence maxima of P1, P2 and P3 films are 564, 559 and 558 nm, respectively. The HOMO and LUMO energy levels have been estimated from their cyclic voltammograms. The HOMO levels of P1, P2, and P3 were readily raised with increasing thiophene content ( -5.99, -5.59, and -5.43 eV, respectively), whereas their LUMO levels were very similar ( -3.61 to -3.65 eV). Double- layer light- emitting diodes ( Al / PEDOT: PSS / P1-P3 / ITO) were fabricated to evaluate their optoelectronic characteristics. Incorporation of thiophene units successfully reduced the turn- on electric field from 11.0x10^{5} to 2.9x10^{5} V / cm, but it decreased the luminescent efficiency and the maximum brightness."
1,PROP_VALUE,450 ° c,416,423,"In an attempt to balance energy barriers of hole and electron injection we prepared and characterized homopolymer containing electron- transporting 1,2-diphenylmaleimide chromophores ( P1) and copolymers consisting of 1,2-diphenylmaleimide and hole- transporting 2,5-thiophene moieties ( P2, P3) via dehalogenation polycondensation. The copolymers are amorphous materials with decomposition temperature greater than 450 ° C. Absorption and fluorescence spectra were employed to investigate their optical properties both in solution and film state. Photoluminescence maxima of P1, P2 and P3 films are 564, 559 and 558 nm, respectively. The HOMO and LUMO energy levels have been estimated from their cyclic voltammograms. The HOMO levels of P1, P2, and P3 were readily raised with increasing thiophene content ( -5.99, -5.59, and -5.43 eV, respectively), whereas their LUMO levels were very similar ( -3.61 to -3.65 eV). Double- layer light- emitting diodes ( Al / PEDOT: PSS / P1-P3 / ITO) were fabricated to evaluate their optoelectronic characteristics. Incorporation of thiophene units successfully reduced the turn- on electric field from 11.0x10^{5} to 2.9x10^{5} V / cm, but it decreased the luminescent efficiency and the maximum brightness."
1,POLYMER,p1,576,578,"In an attempt to balance energy barriers of hole and electron injection we prepared and characterized homopolymer containing electron- transporting 1,2-diphenylmaleimide chromophores ( P1) and copolymers consisting of 1,2-diphenylmaleimide and hole- transporting 2,5-thiophene moieties ( P2, P3) via dehalogenation polycondensation. The copolymers are amorphous materials with decomposition temperature greater than 450 ° C. Absorption and fluorescence spectra were employed to investigate their optical properties both in solution and film state. Photoluminescence maxima of P1, P2 and P3 films are 564, 559 and 558 nm, respectively. The HOMO and LUMO energy levels have been estimated from their cyclic voltammograms. The HOMO levels of P1, P2, and P3 were readily raised with increasing thiophene content ( -5.99, -5.59, and -5.43 eV, respectively), whereas their LUMO levels were very similar ( -3.61 to -3.65 eV). Double- layer light- emitting diodes ( Al / PEDOT: PSS / P1-P3 / ITO) were fabricated to evaluate their optoelectronic characteristics. Incorporation of thiophene units successfully reduced the turn- on electric field from 11.0x10^{5} to 2.9x10^{5} V / cm, but it decreased the luminescent efficiency and the maximum brightness."
1,POLYMER,p2,580,582,"In an attempt to balance energy barriers of hole and electron injection we prepared and characterized homopolymer containing electron- transporting 1,2-diphenylmaleimide chromophores ( P1) and copolymers consisting of 1,2-diphenylmaleimide and hole- transporting 2,5-thiophene moieties ( P2, P3) via dehalogenation polycondensation. The copolymers are amorphous materials with decomposition temperature greater than 450 ° C. Absorption and fluorescence spectra were employed to investigate their optical properties both in solution and film state. Photoluminescence maxima of P1, P2 and P3 films are 564, 559 and 558 nm, respectively. The HOMO and LUMO energy levels have been estimated from their cyclic voltammograms. The HOMO levels of P1, P2, and P3 were readily raised with increasing thiophene content ( -5.99, -5.59, and -5.43 eV, respectively), whereas their LUMO levels were very similar ( -3.61 to -3.65 eV). Double- layer light- emitting diodes ( Al / PEDOT: PSS / P1-P3 / ITO) were fabricated to evaluate their optoelectronic characteristics. Incorporation of thiophene units successfully reduced the turn- on electric field from 11.0x10^{5} to 2.9x10^{5} V / cm, but it decreased the luminescent efficiency and the maximum brightness."
